Cleaned Text,Stemmed Tokens,Tweet ID
"RT : My take on Will Grier and #WVU 
1. He should play in the bowl 
2. Dana agrees ( privately) to the following 
- Get him out aft…","['rt', ':', 'my', 'take', 'will', 'grier', '#', 'wvu', '1', '.', 'he', 'play', 'bowl', '2', '.', 'dana', 'agre', '(', 'privat', ')', 'follow', '-', 'get', 'aft…']",1067600426982432769
So we can end this nonsensical Facebook news ( from your friends ) that #WVU can play in the Sugar Bowl . ,"['so', 'can', 'end', 'nonsens', 'facebook', 'news', '(', 'friend', ')', '#', 'wvu', 'can', 'play', 'sugar', 'bowl', '.']",1067600072056209413
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,"['rt', ':', 'lot', 'confus', 're', 'big', '12', ""'s"", 'slot', 'sugar', 'bowl', '.', 'but', '#', 'wvu', 'offici', 'tell', 'next', 'week', ""'s"", 'cfp', 'rank', ""won't…""]",1067599314430713856
"RT : On #GivingTuesday around the globe,  reflects on the passion behind &amp; impact of the Norma Mae Huggins Cancer…","['rt', ':', 'on', '#', 'givingtuesday', 'around', 'globe', ',', 'reflect', 'passion', 'behind', '&', 'amp', ';', 'impact', 'norma', 'mae', 'huggin', 'cancer…']",1067599052999745536
"RT : GREAT NEW EPISODE TOMORROW!

What’s John’s life like in Argentina? What did they think about the #WVU football game? How…","['rt', ':', 'great', 'new', 'episod', 'tomorrow', '!', 'what', '’', 's', 'john', '’', 's', 'life', 'like', 'argentina', '?', 'what', 'think', '#', 'wvu', 'footbal', 'game', '?', 'how…']",1067598997249040389
RT : #WVU falls three spots to No. 16 in the College Football Playoff rankings. ,"['rt', ':', '#', 'wvu', 'fall', 'three', 'spot', 'no', '.', '16', 'colleg', 'footbal', 'playoff', 'rank', '.']",1067598509506027521
"RT : #CFB Total QBR week 14

Kyler Murray #Sooners 96.1
Tua Tagovailoa #Bama 95.9
Jake Fromm #UGA 86.1
Dwayne Haskins #OhioSta…","['rt', ':', '#', 'cfb', 'total', 'qbr', 'week', '14', 'kyler', 'murray', '#', 'sooner', '96.1', 'tua', 'tagovailoa', '#', 'bama', '95.9', 'jake', 'fromm', '#', 'uga', '86.1', 'dwayn', 'haskin', '#', 'ohiosta…']",1067598203590270976
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…","['rt', ':', 'so', '...', 'ou', 'go', 'playoff', 'pas', 'texa', 'rank', ',', 'send', '#', 'wvu', 'sugar', 'bowl', '?', '2nd', 'highest', 'rank…']",1067598120517861378
"RT : David Hardesty is a great West Virginian, was a great President of the University and is a role model for all who look at h…","['rt', ':', 'david', 'hardesti', 'great', 'west', 'virginian', ',', 'great', 'presid', 'univers', 'role', 'model', 'look', 'h…']",1067597559500349442
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067597075272081408
