Tweet ID,Username,Text,Number of Retweets,Number of Likes
1067592829285863425,JEngland10,"b""RT @GAllanTaylor: Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't\xe2\x80\xa6""",8,0
1067592696854917121,lazyb81,b'RT @CMAnderson247: Senior highlights of #WVU commit Winston Wright will definitely leave you impressed.... https://t.co/HdS0tdQ2LP',3,0
1067591804147650560,huff_kyle,b'RT @concussconnect: Asking a concussed player if he can play is like asking a drunk driver if he can drive. The player will always want to\xe2\x80\xa6',862,0
1067591798074343424,MattArchie10,"b'RT @GoldAndBlueZone: So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank\xe2\x80\xa6'",14,0
1067591015807295488,ddryan,b'RT @FinalFourCast: GREAT NEW EPISODE TOMORROW!\n\nWhat\xe2\x80\x99s John\xe2\x80\x99s life like in Argentina? What did they think about the #WVU football game? How\xe2\x80\xa6',2,0
1067590992398860291,SSeebaugh,"b'RT @DVNCallihan: I understand fans want to win, but why do I keep seeing \xe2\x80\x9cmediocrity\xe2\x80\x9d and comparisons to blue blood programs? \n\nThere\xe2\x80\x99s a r\xe2\x80\xa6'",6,0
1067590535492378624,FinalFourCast,b'GREAT NEW EPISODE TOMORROW!\n\nWhat\xe2\x80\x99s John\xe2\x80\x99s life like in Argentina? What did they think about the #WVU football game\xe2\x80\xa6 https://t.co/4s8OxEISJj',2,2
1067590337890263042,jimdodrill,b'Big win by Oklahoma over Texas could mean Sugar Bowl for #WVU https://t.co/Jo4fDVwOuU',0,0
1067590331598888961,lazyb81,"b""RT @jnpheen: THANK YOU to all the seniors and the work you've put in for West Virginia University #HailWV #WVU https://t.co/k0xk0qnrwR""",44,0
1067590054959349761,caydankeeler,"b'RT @GoldAndBlueZone: So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank\xe2\x80\xa6'",14,0
1067589999699341312,boffutt18,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067589776021364736,joebrowvm,"b""RT @GAllanTaylor: Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't\xe2\x80\xa6""",8,0
1067589302543151107,Kyle_Hardesty,"b""RT @GAllanTaylor: Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't\xe2\x80\xa6""",8,0
1067589137996206080,wvillustrated,b'RT @ByNickFarrell: .@WVUfootball is No. 16 in the #CFBPlayoff rankings. \n\n#WVU will learn its bowl fate next week. The result of the @Big12\xe2\x80\xa6',3,0
1067589010665734144,ByNickFarrell,b'.@WVUfootball is No. 16 in the #CFBPlayoff rankings. \n\n#WVU will learn its bowl fate next week. The result of the\xe2\x80\xa6 https://t.co/ZE8dCbkwHr',3,13
1067588728573452288,bryandwvu,b'Yearly #WVU themed Christmas tree with my photo of @WVStateParks - Babcock State Park in the background. https://t.co/8UXR3SyqxY',0,6
1067588254332002314,Kylab116,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067587935481077760,GAllanTaylor,"b""Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings\xe2\x80\xa6 https://t.co/33dWFEpFia""",8,9
1067587304183775233,jfscraggsie,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067586988386205696,tweber912,b'#WVU should have seen if UNC wanted to play a make up football game this weekend',0,2
1067586846673301504,SSeebaugh,"b'RT @GoldAndBlueZone: So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank\xe2\x80\xa6'",14,0
1067586613906165760,WaltAuvil,"b'RT @Day1Lifestyle: Looking back already, that Oklahoma game stings but that Ok St game really really stings. #WVU'",3,0
1067586459543183360,WaltAuvil,"b'RT @Torensborg: David Hardesty is a great West Virginian, was a great President of the University and is a role model for all who look at h\xe2\x80\xa6'",4,0
1067586391746506752,ryanmorton19,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067586371613802496,lazyb81,b'RT @itskimwebster: The last couple of weeks as #WVU fans may not have gone the way we would\xe2\x80\x99ve liked them to go but I\xe2\x80\x99m still thankful for\xe2\x80\xa6',26,0
1067585729478430721,a_bush15,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067585691708784640,JGinWV,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067584981927686144,CindyFitch1,"b'RT @Torensborg: David Hardesty is a great West Virginian, was a great President of the University and is a role model for all who look at h\xe2\x80\xa6'",4,0
1067583553314193408,beaverfever15,"b'RT @GoldAndBlueZone: So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank\xe2\x80\xa6'",14,0
1067583385034465280,wvusports_,b'#WVU drops to #16 in the CFP.',0,1
1067582981970305024,rivalskeenan,b'#WVU won\xe2\x80\x99t be playing for a conference title this weekend but where will it be bowling? That and a lot more in this\xe2\x80\xa6 https://t.co/ScIZxQwBtN',0,3
1067581831699185666,xX_OUTLAW_Xx,"b'RT @DVNCallihan: I understand fans want to win, but why do I keep seeing \xe2\x80\x9cmediocrity\xe2\x80\x9d and comparisons to blue blood programs? \n\nThere\xe2\x80\x99s a r\xe2\x80\xa6'",6,0
1067581668523982848,xX_OUTLAW_Xx,"b'RT @GoldAndBlueZone: So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank\xe2\x80\xa6'",14,0
1067581642078859264,xX_OUTLAW_Xx,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067580807693443072,DubVnightlife,"b""RT @BennyVelinos: Cheeesin' \xf0\x9f\x98\x81 #westvirginia #morgantown #bennyspizza #wvu #bennyvelinos #pizza https://t.co/k0lnHdOE0K""",1,0
1067578930293424128,DaveGruver,"b'RT @WVUFoundation: On #GivingTuesday around the globe, @CoachHuggs reflects on the passion behind &amp; impact of the Norma Mae Huggins Cancer\xe2\x80\xa6'",10,0
1067578833409331200,DubVnightlife,b'NCAA Die-Cut Window Decal #WVU https://t.co/ccCDWiqVKb',0,1
1067578473399676928,WVUshu,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067578351915814914,bigalfurr,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067578061149876225,juddwvu,"b'RT @GoldAndBlueZone: So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank\xe2\x80\xa6'",14,0
1067577872158736384,thepeguin07,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
