Text,sentiment polarity,sentiment subjectivity,tweet ID
"RT : Rumors are out there, but don’t believe them. Holgorsen will continue to build #WVU football ",0.0,0.0,1067571110399668226
#WVU falls three spots to No. 16 in the College Football Playoff rankings. ,0.0,0.0,1067571074097913856
"RT : New #CFBPlayoff Rankings
7. #Michigan
8. #UCF
9. #UF
10. #LSU
11. #UDub
12. #PSU
13. #Wazzu
14. #Texas
15. #UK
16. #WVU…",0.13636363636363635,0.45454545454545453,1067570972839030785
#WVUFootball shows up ranked 16th in this Week's College Football Top 25 Rankings. #WVU,0.5,0.5,1067570908062203905
"RT : New #CFBPlayoff Rankings
7. #Michigan
8. #UCF
9. #UF
10. #LSU
11. #UDub
12. #PSU
13. #Wazzu
14. #Texas
15. #UK
16. #WVU…",0.13636363636363635,0.45454545454545453,1067570844170371072
"RT : New #CFBPlayoff Rankings
7. #Michigan
8. #UCF
9. #UF
10. #LSU
11. #UDub
12. #PSU
13. #Wazzu
14. #Texas
15. #UK
16. #WVU…",0.13636363636363635,0.45454545454545453,1067570802286096389
"New #CFBPlayoff Rankings
7. #Michigan
8. #UCF
9. #UF
10. #LSU
11. #UDub
12. #PSU
13. #Wazzu
14. #Texas
15. #UK
16.… ",0.13636363636363635,0.45454545454545453,1067570764965138433
#WVU comes in at No. 16 in the College Football Playoff Poll.,0.0,0.0,1067570460337078272
#WVU drops from No. 13 to No. 16 in the latest #CFBPlayoff rankings.,0.5,0.9,1067570416540098560
"RT @bigjax3211: Just back from #WVU interviews. Beetle Bolden and Wes Harris will play against Rider on Wednesday, according to Bob Huggins…",0.0,0.0,1067570340195459072
RT : Jordan McCabe talks about #WVU limiting turnovers the last two games ,0.0,0.06666666666666667,1067570129733648384
RT @rivalskeenan: Freshman point guard Jordan McCabe out here getting up shots for #WVU before practice. ,0.0,0.0,1067569916642017281
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…",0.0,0.06666666666666667,1067569766368464897
RT : #WVU offers a Florida athlete. Get the details and highlights.    ($),0.1,0.0,1067569603101032449
#WVU offers a Florida athlete. Get the details and highlights.    ($),0.1,0.0,1067569417637253120
"RT @bhertzel: Two decades ago today, Marc Bulger and Mountaineers laid an avalanche of points on Backyard Brawlrival Pitt. #wvu #BGN ",0.0,0.0,1067569261827317760
Senior highlights of #WVU commit Winston Wright will definitely leave you impressed.... ,0.5,0.75,1067568757520793602
@weekley You want OU to win because that hopefully puts them in playoff and Texas in NY6 which means more loot spli… ,0.65,0.45,1067568739732869120
" @letsgomtnrs   @missouri_in  Facts. Additionally, a 13-9 game is… ",-0.4,0.4,1067567813244723202
RT : #WVU has registered double digit wins in a season 9 times in its 127 year history. Dana Holgorsen has 2 of those in 8 year…,0.15,0.1,1067567678813085696
